Menu Item,Image URL
Snack Box,https://images.ctfassets.net/n4pc9wlortyn/7lQZW0hDrl2zmZoO3m7OWu/0480b999c07759f856ffbedc8be9f0f7/SPU_Snack_Box_480x388.png
1 pc. Fried Chicken,https://images.ctfassets.net/n4pc9wlortyn/1PTqNXLJLaeEmb1OB3Crgr/772c24e56b996d1c8894d355a6dca910/1_pc._Fried_Chicken_480x388.png
KFC Spicy Chicken Rice Bowl,https://images.ctfassets.net/n4pc9wlortyn/5CHcoRrT9cSHrtQfYQXZst/e3c61128536a29d7c5a80cded0aee179/Spicy_Chicken_Rice_Bowl_480x388.png
KFC Green Curry Crispy Chicken Rice,https://images.ctfassets.net/n4pc9wlortyn/5ibn1iVcubtz7LLDwedId9/c04976ee0489aea0c76468fb7b55497a/Green_Curry_Rice_Bowl_480x388.png
NEW! Kentucky Rice,https://images.ctfassets.net/n4pc9wlortyn/OknX4KC7BSafZBQiwzUrb/1ec5d1c4da69ea45112bf1b425ed40bb/NEW-Kentucky-Rice.png
Plain Rice,https://images.ctfassets.net/n4pc9wlortyn/OXZHelDGLBtXt6nux2TkH/8a1c60461d1010ac1489ca608b48dad1/Plain_Rice_480x388.png
6 pcs. Nuggets,https://images.ctfassets.net/n4pc9wlortyn/kZ209ThuwSZBjQPgwH9MD/be8facd9b3dfc6541be47c407889adf2/6_pcs._Nugget_480x388.png
3 pcs. WingZ Zabb,https://images.ctfassets.net/n4pc9wlortyn/2J67QA2guNagN1PKGXKXih/600a61820ae57f7aaf7c016e9b1eb7d1/3_pcs._WingZ_Zabb_480x388.png
2 pcs. WingZ Zabb,https://images.ctfassets.net/n4pc9wlortyn/5NMycxbXDszGSlDBQ0LEEW/18470f88d6aeca847329d2ccc2de7940/2_pcs._WingZ_Zabb_480x388.png
Chick N' Roll,https://images.ctfassets.net/n4pc9wlortyn/5FGJLq7S7vyy5H1X0bmu3D/9ed05eac84e5244013eb2c13aa6d3497/1_pc._Chick_N-_Roll_480x388.png
2 pcs.Crispy Strips,https://images.ctfassets.net/n4pc9wlortyn/1lUP8d7TNIwllDocIHuy7o/d4b6b241aec6fc8f9074bf982d0853a5/2_pcs._Crispy_Strip_480x388.png
7 pcs. Chicken POP,https://images.ctfassets.net/n4pc9wlortyn/ixqPr5roRfvh88mGjAQi8/3b2fb1630828999a6045d7309ac0df9a/7_pcs._Chicken_Pop_480x388.png
Shrimp Donut,https://images.ctfassets.net/n4pc9wlortyn/6QPqFn9J7F68ubgbb16u1j/e4463b4b52808563fbd688224857645d/Shrimp_Donut_480x388.png
Egg Tart 6pcs. Free 2pcs.,https://images.ctfassets.net/n4pc9wlortyn/6HYfExm7c1i7pCLlJmWpiR/a0f7c674aa6bc1583aead1993366e754/ET_6FREE2_EN.png
Egg Tart 3pcs. Free 1pc.,https://images.ctfassets.net/n4pc9wlortyn/3s5wzG9J3fwx3nuVCbwnJN/38ca0e223c8b2703b6f8f3a7bc2c5ccb/ET_3FREE1_EN.png
2 pcs. Egg Tart,https://images.ctfassets.net/n4pc9wlortyn/5uoqZxVQ9KGsnfUoyItnrK/b3053b030c6ad216fb3a03989d55c309/2_pc._Egg_Tart_480x388.png
1 pc. Egg tart,https://images.ctfassets.net/n4pc9wlortyn/6eueZZxvmoj0TyEDoiHT2K/342d84453f0f7bab4481cb82cde0e1d3/1_pc._Egg_Tart_480x388.png
